,Movie ID,Budget,Revenue,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Release Date,Run Time
189,2022,50000000,171269535,Comedy,Romance,N/A,N/A,N/A,2002-06-28,96
190,10771,60000000,104391623,Thriller,Action,Comedy,Science Fiction,N/A,2002-09-27,98
191,10985,13000000,31167388,Comedy,N/A,N/A,N/A,N/A,2002-05-10,88
192,11452,6000000,39241323,Comedy,Romance,N/A,N/A,N/A,2002-03-29,92
193,13830,200000,0,Action,Adventure,Crime,Drama,N/A,2002-02-27,95
194,10052,60000000,52322400,Thriller,Fantasy,N/A,N/A,N/A,2002-02-22,104
195,14317,35000000,0,Animation,Adventure,Family,N/A,N/A,2002-12-20,85
196,14787,0,0,Family,Animation,Fantasy,Comedy,Action,2002-03-12,62
197,4614,68000000,193921372,Thriller,Action,Drama,N/A,N/A,2002-05-31,124
198,20312,7000000,0,Adventure,Comedy,Fantasy,N/A,N/A,2002-04-13,116
199,44725,0,13107237,Action,Animation,Adventure,N/A,N/A,2002-03-02,56
200,2135,80000000,123729176,Science Fiction,Adventure,Action,N/A,N/A,2002-03-04,96
201,4547,48000000,197079546,Crime,Drama,Thriller,N/A,N/A,2002-03-29,111
202,11979,35000000,45479110,Drama,Fantasy,Horror,N/A,N/A,2002-02-10,101
203,7299,20000000,5359645,Action,Science Fiction,Thriller,N/A,N/A,2002-12-06,107
204,9884,85000000,78382433,Action,Thriller,Drama,N/A,N/A,2002-02-06,108
205,14411,60000000,80767884,Family,Animation,Adventure,Comedy,Fantasy,2003-07-02,90
206,22,140000000,655011224,Adventure,Fantasy,Action,N/A,N/A,2003-07-09,143
207,12,94000000,940335536,Animation,Family,N/A,N/A,N/A,2003-05-30,100
208,122,94000000,1118888979,Adventure,Fantasy,Action,N/A,N/A,2003-12-01,201
209,10756,90000000,182290266,Thriller,Fantasy,Comedy,Family,Mystery,2003-11-25,88
210,9902,12600000,28650575,Horror,Thriller,N/A,N/A,N/A,2003-05-30,84
211,15016,0,0,Animation,Family,N/A,N/A,N/A,2003-09-27,83
212,4256,48000000,220673217,Comedy,N/A,N/A,N/A,N/A,2003-10-24,84
213,10009,128000000,250397798,Adventure,Animation,Family,N/A,N/A,2003-10-23,85
