,# 1st Billing,# 2nd Billing,# 3rd Billing,# 4th Billing,# 5th Billing,Total Movie Count
Michelle Williams,0.0,4.0,4.0,2.0,0.0,10.0
Rebecca Ferguson,0.0,4.0,3.0,2.0,1.0,10.0
Christina Applegate,0.0,3.0,3.0,3.0,1.0,10.0
Jeremy Irons,0.0,3.0,2.0,3.0,2.0,10.0
John Turturro,0.0,2.0,4.0,1.0,3.0,10.0
Ving Rhames,0.0,2.0,3.0,2.0,3.0,10.0
Steve Buscemi,0.0,1.0,2.0,4.0,3.0,10.0
Robin Wright,0.0,1.0,1.0,3.0,5.0,10.0
Richard Jenkins,0.0,0.0,3.0,3.0,4.0,10.0
John Cusack,7.0,1.0,1.0,0.0,0.0,9.0
Viggo Mortensen,7.0,0.0,1.0,1.0,0.0,9.0
Martin Lawrence,6.0,3.0,0.0,0.0,0.0,9.0
Tom Holland,5.0,2.0,1.0,1.0,0.0,9.0
Bryan Cranston,4.0,3.0,1.0,1.0,0.0,9.0
John Travolta,4.0,3.0,1.0,1.0,0.0,9.0
Karl Urban,4.0,2.0,2.0,0.0,1.0,9.0
Megan Fox,4.0,2.0,1.0,2.0,0.0,9.0
Donnie Yen,4.0,2.0,0.0,2.0,1.0,9.0
Pierce Brosnan,4.0,1.0,3.0,0.0,1.0,9.0
Jason Lee,4.0,0.0,2.0,0.0,3.0,9.0
Chris Rock,3.0,4.0,2.0,0.0,0.0,9.0
Aaron Eckhart,3.0,3.0,2.0,0.0,1.0,9.0
Jim Sturgess,3.0,3.0,1.0,1.0,1.0,9.0
John Cena,3.0,3.0,1.0,0.0,2.0,9.0
Queen Latifah,3.0,2.0,0.0,4.0,0.0,9.0
Brie Larson,3.0,1.0,3.0,1.0,1.0,9.0
Andy Samberg,2.0,4.0,0.0,1.0,2.0,9.0
Justin Timberlake,2.0,3.0,4.0,0.0,0.0,9.0
Edward Norton,2.0,2.0,2.0,3.0,0.0,9.0
Will Arnett,2.0,1.0,2.0,2.0,2.0,9.0
Robin Williams,1.0,6.0,0.0,0.0,2.0,9.0
Javier Bardem,1.0,5.0,2.0,1.0,0.0,9.0
Joel Edgerton,1.0,4.0,2.0,1.0,1.0,9.0
Orlando Bloom,1.0,4.0,1.0,1.0,2.0,9.0
Jessica Biel,1.0,3.0,4.0,0.0,1.0,9.0
Isla Fisher,1.0,2.0,2.0,2.0,2.0,9.0
Abigail Breslin,1.0,2.0,1.0,3.0,2.0,9.0
Luke Evans,1.0,1.0,2.0,1.0,4.0,9.0
T.J. Miller,1.0,0.0,3.0,3.0,2.0,9.0
Timothy Olyphant,1.0,0.0,3.0,1.0,4.0,9.0
Christoph Waltz,0.0,5.0,3.0,0.0,1.0,9.0
Zooey Deschanel,0.0,4.0,3.0,2.0,0.0,9.0
Maria Bello,0.0,4.0,3.0,1.0,1.0,9.0
Judy Greer,0.0,3.0,1.0,3.0,2.0,9.0
Neil Patrick Harris,0.0,3.0,1.0,2.0,3.0,9.0
Paul Giamatti,0.0,2.0,3.0,4.0,0.0,9.0
Anthony Anderson,0.0,2.0,3.0,2.0,2.0,9.0
Anthony Mackie,0.0,1.0,3.0,3.0,2.0,9.0
Nick Nolte,0.0,1.0,3.0,3.0,2.0,9.0
Cliff Curtis,0.0,1.0,2.0,4.0,2.0,9.0
Sean Bean,0.0,1.0,2.0,4.0,2.0,9.0
Vincent D'Onofrio,0.0,1.0,2.0,3.0,3.0,9.0
Alan Arkin,0.0,0.0,3.0,2.0,4.0,9.0
John Hurt,0.0,0.0,2.0,3.0,4.0,9.0
William Hurt,0.0,0.0,1.0,6.0,2.0,9.0
Eddie Redmayne,7.0,0.0,0.0,1.0,0.0,8.0
Shailene Woodley,5.0,3.0,0.0,0.0,0.0,8.0
Elijah Wood,5.0,1.0,1.0,0.0,1.0,8.0
Hilary Swank,4.0,3.0,1.0,0.0,0.0,8.0
Marlon Wayans,4.0,1.0,1.0,2.0,0.0,8.0
Benedict Cumberbatch,4.0,0.0,2.0,2.0,0.0,8.0
Kate Hudson,3.0,3.0,2.0,0.0,0.0,8.0
Diane Lane,3.0,2.0,1.0,2.0,0.0,8.0
Cuba Gooding Jr.,3.0,1.0,1.0,2.0,1.0,8.0
Kenneth Branagh,3.0,1.0,0.0,4.0,0.0,8.0
Noomi Rapace,2.0,4.0,2.0,0.0,0.0,8.0
Ed Helms,2.0,4.0,1.0,0.0,1.0,8.0
Alicia Vikander,2.0,3.0,2.0,1.0,0.0,8.0
Blake Lively,2.0,3.0,1.0,1.0,1.0,8.0
Martin Freeman,2.0,3.0,1.0,0.0,2.0,8.0
Jason Segel,2.0,3.0,0.0,1.0,2.0,8.0
Jamie Bell,2.0,2.0,2.0,1.0,1.0,8.0
Andy Serkis,2.0,2.0,1.0,2.0,1.0,8.0
Ron Perlman,2.0,1.0,2.0,3.0,0.0,8.0
Drew Barrymore,1.0,5.0,1.0,1.0,0.0,8.0
Eva Green,1.0,5.0,0.0,2.0,0.0,8.0
Tommy Lee Jones,1.0,4.0,2.0,1.0,0.0,8.0
Diane Kruger,1.0,4.0,1.0,1.0,1.0,8.0
Rebel Wilson,1.0,3.0,1.0,2.0,1.0,8.0
Bryce Dallas Howard,1.0,3.0,0.0,4.0,0.0,8.0
Naomie Harris,1.0,3.0,0.0,3.0,1.0,8.0
Diego Luna,1.0,3.0,0.0,1.0,3.0,8.0
Josh Duhamel,1.0,2.0,4.0,1.0,0.0,8.0
Rebecca Hall,1.0,2.0,3.0,0.0,2.0,8.0
